norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
CPM only,Cosine,DMSO 500,500,0.99821281424768,0.9977903857551288,83,44,53.01204819277108,46,12,26.08695652173913,37,32,86.48648648648648,0.3304418238806077
CPM only,Cosine,Vorino 500,500,0.9966443721538565,0.9965400629224253,83,44,53.01204819277108,46,18,39.130434782608695,37,26,70.27027027027027,0.3304418238806077
CPM only,Cosine,Union 500,941,0.9978636478569414,0.9973472331185365,83,42,50.602409638554214,46,10,21.73913043478261,37,32,86.48648648648648,0.4999999999999998
CPM only,Cosine,Intersect 500,59,0.9973066685813853,0.9974897646637338,83,38,45.78313253012048,46,18,39.130434782608695,37,20,54.054054054054056,0.8100003017940409
CPM only,Cosine,DMSO 1000,1000,0.9981047209876153,0.9973530190713956,83,42,50.602409638554214,46,8,17.391304347826086,37,34,91.89189189189189,0.4999999999999998
CPM only,Cosine,Vorino 1000,1000,0.997679022536061,0.9974798159035513,83,42,50.602409638554214,46,17,36.95652173913044,37,25,67.56756756756756,0.4999999999999998
CPM only,Cosine,Union 1000,1861,0.9978561909394384,0.9971278342759051,83,42,50.602409638554214,46,7,15.217391304347826,37,35,94.5945945945946,0.4999999999999998
CPM only,Cosine,Intersect 1000,139,0.9981140525081251,0.99815758207472,83,34,40.963855421686745,46,15,32.608695652173914,37,19,51.351351351351354,0.9607901875920962
CPM only,Cosine,DMSO 2000,2000,0.9976719780459603,0.9970144129849011,83,40,48.19277108433735,46,5,10.869565217391305,37,35,94.5945945945946,0.6695581761193923
CPM only,Cosine,Vorino 2000,2000,0.9975924787991888,0.9972139943734466,83,48,57.83132530120482,46,18,39.130434782608695,37,30,81.08108108108108,0.09372993398309643
CPM only,Cosine,Union 2000,3669,0.9974929861925382,0.9968799661377968,83,45,54.21686746987952,46,9,19.565217391304348,37,36,97.29729729729729,0.2552049708406172
CPM only,Cosine,Intersect 2000,331,0.9982471987070668,0.9981238128319155,83,43,51.80722891566265,46,17,36.95652173913044,37,26,70.27027027027027,0.41320236222459616
CPM only,Cosine,Union 3000,5437,0.9969343721623583,0.9962977096811167,83,46,55.42168674698795,46,10,21.73913043478261,37,36,97.29729729729729,0.18999969820595902
